timestamp,machine_id,temperature,vibration,pressure,is_anomaly,rul_days
2025-12-27 04:28:59.136282,M_001,67.02,2.855,122.54,0,50.0
2025-12-27 05:28:59.136282,M_001,69.03,2.785,112.01,0,50.0
2025-12-27 06:28:59.136282,M_001,67.97,2.519,106.02,0,50.0
2025-12-27 07:28:59.136282,M_001,66.37,2.816,110.93,0,50.0
2025-12-27 08:28:59.136282,M_001,70.42,2.856,114.98,0,50.0
2025-12-27 09:28:59.136282,M_001,64.64,2.926,112.06,0,50.0
2025-12-27 10:28:59.136282,M_001,66.29,2.843,111.63,0,50.0
2025-12-27 11:28:59.136282,M_001,71.2,2.795,114.61,0,50.0
2025-12-27 12:28:59.136282,M_001,69.14,2.657,115.68,0,50.0
2025-12-27 13:28:59.136282,M_001,63.57,2.945,119.05,0,50.0
2025-12-27 14:28:59.136282,M_001,67.26,2.841,107.25,0,50.0
2025-12-27 15:28:59.136282,M_001,66.05,2.632,110.24,0,50.0
2025-12-27 16:28:59.136282,M_001,91.2,8.407,111.26,1,50.0
2025-12-27 17:28:59.136282,M_001,69.27,3.08,118.41,0,50.0
2025-12-27 18:28:59.136282,M_001,65.81,2.84,116.3,0,50.0
2025-12-27 19:28:59.136282,M_001,69.44,2.866,112.59,0,50.0
2025-12-27 20:28:59.136282,M_001,69.12,3.173,114.28,0,50.0
2025-12-27 21:28:59.136282,M_001,69.5,3.096,118.62,0,50.0
2025-12-27 22:28:59.136282,M_001,67.42,3.214,101.54,0,50.0
2025-12-27 23:28:59.136282,M_001,69.13,2.618,119.85,0,50.0
2025-12-28 00:28:59.136282,M_001,67.05,2.973,122.03,0,50.0
2025-12-28 01:28:59.136282,M_001,66.45,2.859,112.51,0,50.0
2025-12-28 02:28:59.136282,M_001,69.32,2.967,111.99,0,50.0
2025-12-28 03:28:59.136282,M_001,68.52,3.176,115.52,0,50.0
2025-12-28 04:28:59.136282,M_001,66.09,2.836,112.68,0,50.0
2025-12-28 05:28:59.136282,M_001,64.56,2.37,116.37,0,50.0
2025-12-28 06:28:59.136282,M_001,66.81,2.741,113.83,0,50.0
2025-12-28 07:28:59.136282,M_001,68.3,2.713,121.66,0,50.0
2025-12-28 08:28:59.136282,M_001,63.65,2.896,114.94,0,50.0
2025-12-28 09:28:59.136282,M_001,72.42,2.997,113.34,0,50.0
2025-12-28 10:28:59.136282,M_001,67.42,2.668,120.35,0,50.0
2025-12-28 11:28:59.136282,M_001,68.99,2.741,121.56,0,50.0
2025-12-28 12:28:59.136282,M_001,68.66,3.34,109.69,0,50.0
2025-12-28 13:28:59.136282,M_001,66.36,3.243,119.01,0,50.0
2025-12-28 14:28:59.136282,M_001,64.39,2.915,109.33,0,50.0
2025-12-28 15:28:59.136282,M_001,68.44,3.026,113.84,0,50.0
2025-12-28 16:28:59.136282,M_001,65.92,2.837,118.71,0,50.0
2025-12-28 17:28:59.136282,M_001,65.03,3.174,127.34,0,50.0
2025-12-28 18:28:59.136282,M_001,68.01,3.058,108.46,0,50.0
